date_user,depot_user,collection_user,dataset_user,users_user,frequent_users_user,user_info_user
2022-05-17,icebase,sportsproducts,sports_products_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-17 18:45:52.816 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:1001}"
2022-05-17,icebase,sportsproducts,sports_returns_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-17 18:45:52.816 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:2250}"
2022-05-17,icebase,sportsproducts,sports_productcategories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-17 18:45:52.816 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:1816}"
2022-05-17,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-17 23:55:06.157 UTC,query_count:274,count_queries_7_days:550,count_queries_30_days:2363}"
2022-05-17,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-17 23:55:06.157 UTC,query_count:274,count_queries_7_days:1929,count_queries_30_days:2774}"
2022-05-17,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-17 23:55:06.157 UTC,query_count:274,count_queries_7_days:1091,count_queries_30_days:1091}"
2022-05-17,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-17 18:45:52.816 UTC,query_count:1,count_queries_7_days:10,count_queries_30_days:3467}"
2022-05-16,icebase,sportsproducts,sports_returns_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-16 23:57:02.953 UTC,query_count:281,count_queries_7_days:1467,count_queries_30_days:1491}"
2022-05-16,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-16 23:57:02.953 UTC,query_count:281,count_queries_7_days:1408,count_queries_30_days:3623}"
2022-05-16,icebase,sportsproducts,sports_transactions_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-16 18:45:49.304 UTC,query_count:1,count_queries_7_days:280,count_queries_30_days:5317}"
2022-05-16,icebase,sportsproducts,sports_customers_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-16 18:45:49.304 UTC,query_count:1,count_queries_7_days:9,count_queries_30_days:4151}"
2022-05-16,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-16 23:57:02.953 UTC,query_count:281,count_queries_7_days:1674,count_queries_30_days:2246}"
2022-05-16,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-16 23:57:02.953 UTC,query_count:281,count_queries_7_days:1678,count_queries_30_days:2609}"
2022-05-16,icebase,sportsproducts,sports_transactions_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-16 23:57:02.953 UTC,query_count:281,count_queries_7_days:1465,count_queries_30_days:2034}"
2022-05-16,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-16 18:45:49.304 UTC,query_count:1,count_queries_7_days:1642,count_queries_30_days:5316}"
2022-05-16,icebase,sportsproducts,sports_productcategories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-16 23:57:02.953 UTC,query_count:281,count_queries_7_days:1295,count_queries_30_days:2772}"
2022-05-16,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-16 23:57:02.953 UTC,query_count:281,count_queries_7_days:1429,count_queries_30_days:2520}"
2022-05-16,icebase,sportsproducts,sports_productcategories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-16 18:45:49.304 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:4593}"
2022-05-16,icebase,sportsproducts,sports_products_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-16 18:45:49.304 UTC,query_count:1,count_queries_7_days:1113,count_queries_30_days:6639}"
